iter	Passed	Remaining
0	133	132983
1	139	69716
2	147	49023
3	158	39437
4	168	33443
5	172	28565
6	176	25033
7	180	22326
8	183	20183
9	189	18745
10	192	17318
11	196	16160
12	201	15323
13	205	14499
14	210	13794
15	214	13166
16	220	12741
17	224	12220
18	227	11740
19	270	13254
20	273	12748
21	277	12342
22	280	11921
23	283	11532
24	288	11232
25	293	10990
26	312	11263
27	318	11063
28	322	10794
29	327	10580
30	330	10341
31	336	10188
32	340	9976
33	344	9779
34	348	9595
35	352	9427
36	355	9243
37	358	9072
38	364	8978
39	368	8837
40	371	8689
41	377	8603
42	381	8491
43	385	8369
44	388	8244
45	392	8133
46	395	8022
47	400	7934
48	407	7902
49	410	7808
50	414	7719
51	420	7665
52	424	7581
53	427	7492
54	434	7457
55	438	7393
56	442	7313
57	446	7243
58	450	7191
59	454	7125
60	460	7089
61	464	7028
62	468	6964
63	471	6900
64	479	6894
65	483	6842
66	487	6783
67	491	6739
68	495	6685
69	498	6626
70	502	6573
71	507	6545
72	512	6504
73	519	6496
74	523	6453
75	527	6413
76	532	6380
77	535	6331
78	541	6309
79	545	6270
80	548	6228
81	555	6217
82	559	6180
83	563	6144
84	569	6127
85	574	6101
86	577	6062
87	581	6029
88	586	6007
89	590	5966
90	593	5930
91	598	5909
92	602	5878
93	608	5860
94	614	5851
95	618	5824
96	623	5802
97	629	5791
98	633	5763
99	637	5733
100	645	5746
101	650	5727
102	657	5726
103	661	5702
104	665	5674
105	671	5663
106	676	5643
107	680	5622
108	688	5626
109	692	5603
110	696	5578
111	700	5554
112	705	5536
113	712	5535
114	715	5509
115	720	5488
116	726	5480
117	730	5459
118	734	5438
119	740	5430
120	744	5406
121	747	5382
122	753	5371
123	757	5352
124	762	5336
125	768	5329
126	772	5310
127	778	5304
128	782	5285
129	786	5265
130	790	5244
131	794	5221
132	799	5208
133	806	5212
134	810	5190
135	813	5168
136	819	5162
137	823	5142
138	826	5120
139	830	5099
140	834	5082
141	838	5064
142	841	5042
143	845	5025
144	851	5018
145	854	4998
146	857	4977
147	863	4968
148	868	4958
149	871	4939
150	878	4940
151	882	4923
152	886	4907
153	891	4895
154	894	4874
155	897	4858
156	903	4848
157	906	4832
158	910	4816
159	913	4797
160	919	4791
161	922	4772
162	925	4754
163	929	4740
164	934	4730
165	938	4716
166	942	4700
167	947	4690
168	950	4674
169	954	4658
170	962	4664
171	966	4650
172	969	4633
173	972	4617
174	977	4606
175	981	4594
176	985	4581
177	990	4572
178	993	4558
179	997	4545
180	1001	4531
181	1006	4525
182	1011	4515
183	1014	4499
184	1019	4490
185	1024	4481
186	1027	4466
187	1031	4453
188	1038	4454
189	1042	4443
190	1046	4432
191	1051	4423
192	1054	4409
193	1057	4394
194	1061	4380
195	1064	4368
196	1068	4353
197	1071	4340
198	1075	4329
199	1079	4317
200	1082	4304
201	1086	4292
202	1092	4288
203	1095	4274
204	1098	4260
205	1102	4249
206	1107	4242
207	1110	4228
208	1113	4214
